ID,YEAR,MONTH,MAIN,BAKER,BLUEBONNET,CARVER,CENTRAL,DELMONT GARDENS,EDEN PARK,FAIRWOOD,GREENWELL SPRINGS,JONES CREEK,PRIDE,RIVER CENTER,SCOTLANDVILLE,ZACHARY,GATE COUNT TOTAL,RECYCLED READS
201105,2011,May,35803,12154,22220,8350,5212,14425,10131,0,13651,20824,2772,5392,10872,10185,171991,210
201104,2011,April,35574,9966,21919,8936,3555,16522,10369,0,12966,20498,2840,4913,10349,9854,168261,277
201103,2011,March,37685,10887,23221,10210,4990,17377,10605,0,14669,21180,2998,5225,10088,8946,178081,264
201102,2011,February,35611,9846,21961,9461,5107,15876,10957,0,13135,20036,2503,5499,10019,9603,169614,246
201101,2011,January,37055,9682,22182,9468,4519,14095,9358,0,13767,21533,2733,7111,10618,9013,171134,383
201012,2010,December,31783,8516,19309,8146,2753,18821,9658,0,11087,7279,2297,6715,9861,7404,143629,0
201011,2010,November,36702,10299,22203,8462,3586,13669,10265,0,13963,21276,2566,7776,11485,8089,170341,0
201010,2010,October,38833,12252,23166,10600,3694,16097,11894,0,15272,20107,4076,7956,12392,9176,185515,329
201009,2010,September,39804,12970,24438,10689,4798,16166,13564,0,15236,20310,2950,8066,13325,10150,192466,371
201008,2010,August,40762,10786,25146,8700,4989,16726,12707,0,15427,22936,3149,8968,12723,11709,194728,349
201007,2010,July,35488,10343,26752,10701,5048,15393,12277,0,17025,24480,3502,8650,12692,12304,194655,353
201006,2010,June,39375,10468,28326,8891,5436,15160,11400,0,17373,24537,3312,8820,13036,12943,199077,287
201904,2019,April,47158,7455,23330,7806,6519,11772,10098,8774,5621,18933,3194,4893,9666,10487,176058,352
201903,2019,March,48573,7083,24639,9058,7077,14126,11548,8608,4314,21103,3064,4527,9245,10735,184047,347
201902,2019,February,51191,7377,24571,10252,7044,13303,13609,9993,3684,21428,3110,4525,10717,11809,193030,417
